category,urgency,distance_km,is_remote,road_type,weather,traffic_level,time_of_day,order_weight_kg,past_delay_count,vehicle_capacity_load_pct,customer_priority_flag,priority_score,eta_minutes,delayed
groceries,emergency,16.8,0,paved,clear,3,evening,4.11,0,21,0,58.1,39.3,0
groceries,low,44.68,0,paved,rain,4,evening,3.27,2,79,0,9.8,141.1,0
groceries,low,14.8,1,mixed,clear,1,night,5.02,0,23,0,14.5,44.9,0
medicine,low,1.56,0,paved,clear,5,night,0.93,0,34,0,35.6,5.0,0
groceries,normal,1.17,0,unpaved,rain,3,morning,3.91,2,42,0,26.0,9.6,1
groceries,normal,6.79,1,mixed,rain,3,morning,1.98,0,71,0,34.7,27.6,0
clothing,normal,3.72,1,unpaved,rain,4,afternoon,0.8,1,49,1,41.5,22.0,1
groceries,emergency,4.81,1,paved,clear,3,evening,3.67,1,43,1,64.8,17.1,0
clothing,normal,43.81,1,paved,clear,1,morning,3.49,0,20,0,41.3,89.0,0
documents,low,14.38,1,paved,rain,5,night,3.22,1,78,0,23.1,54.7,0
clothing,low,9.61,0,paved,clear,1,night,5.21,1,42,0,3.2,14.3,0
medicine,emergency,9.72,0,mixed,fog,5,morning,2.97,3,52,0,85.9,47.7,1
medicine,low,14.07,0,paved,clear,3,night,3.32,1,86,0,38.1,29.3,0
groceries,normal,4.36,1,unpaved,storm,3,evening,3.37,1,80,0,40.3,42.0,1
medicine,emergency,8.62,0,mixed,rain,5,night,5.16,1,51,1,83.3,34.7,0
electronics,emergency,15.29,0,paved,rain,2,evening,6.88,2,61,0,51.3,41.8,0
documents,normal,9.35,1,unpaved,rain,4,evening,1.16,1,44,0,29.5,53.8,1
medicine,normal,10.24,0,mixed,clear,4,morning,7.54,1,59,0,54.2,33.8,0
groceries,high,4.79,0,paved,clear,5,afternoon,4.81,0,20,0,42.3,11.9,0
groceries,emergency,13.2,0,paved,clear,5,evening,3.56,0,48,0,50.0,38.0,0
groceries,low,9.12,0,paved,clear,2,afternoon,3.34,5,43,0,11.8,15.2,0
agricultural_supplies,high,12.8,1,unpaved,clear,5,morning,2.11,1,27,0,51.7,60.2,1
groceries,normal,15.17,0,mixed,clear,1,morning,3.47,2,55,0,25.5,35.2,0
documents,high,7.72,1,mixed,clear,1,morning,7.97,2,38,0,52.1,25.6,0
documents,normal,12.99,0,paved,clear,3,morning,5.75,0,61,1,38.3,31.6,0
clothing,emergency,14.98,1,mixed,rain,5,night,2.26,2,36,1,68.2,68.9,0
agricultural_supplies,normal,7.62,1,paved,clear,5,afternoon,1.86,0,58,0,42.8,27.9,0
groceries,normal,25.35,0,mixed,clear,5,morning,2.69,1,38,1,30.5,99.5,0
clothing,normal,12.85,0,mixed,clear,4,afternoon,12.79,0,27,0,15.0,39.3,0
documents,emergency,15.37,0,paved,rain,4,night,5.64,2,52,0,64.4,50.1,0
groceries,high,6.99,1,unpaved,clear,1,evening,3.93,3,93,0,45.6,26.6,1
medicine,emergency,12.18,0,paved,rain,4,evening,4.27,3,24,0,81.3,40.3,0
